stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\breton\OneDrive\Desktop\2023 Spring 2B\Intro to Programming II\Projects\Mini Project 2\Tower_Defence\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04352] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04352] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04353] added dtor for sample_instance 00000000085B6750, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04353] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04354] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04354] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04354] added dtor for sample_instance 00000000085B6870, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04355] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04355] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04356] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04356] added dtor for sample_instance 00000000085B58B0, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04358] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04358] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04359] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04359] added dtor for sample_instance 00000000085B6990, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04360] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04360] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04360] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04361] added dtor for sample_instance 00000000085B6E10, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04361] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04362] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04362] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04363] added dtor for sample_instance 00000000085B6AB0, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04363] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04364] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04364] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04364] added dtor for sample_instance 00000000085B6BD0, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04365] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04365] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04365] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04366] added dtor for sample_instance 00000000085B59D0, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04366] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04367] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04367] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04367] added dtor for sample_instance 00000000085B6CF0, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04368] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04368] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04369] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04369] added dtor for sample_instance 00000000085B62D0, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04369] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04370] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04370] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04372] added dtor for sample_instance 00000000085B7050, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04372] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04372] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04373] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04373] added dtor for sample_instance 00000000085B63F0, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04374] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04374] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04374] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04375] added dtor for sample_instance 00000000085B6090, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04375] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04376] 
